,election_district,registered_voters,voted_in_2016,ratio_voted
313,26069,787,470.0,0.5972045743329097
314,26070,1013,605.0,0.5972359328726555
315,26071,646,526.0,0.8142414860681114
316,26072,1014,650.0,0.6410256410256411
317,26073,634,506.0,0.7981072555205048
318,26074,868,518.0,0.5967741935483871
319,26075,1057,695.0,0.6575212866603595
320,26076,911,612.0,0.6717892425905598
321,26079,829,485.0,0.5850422195416164
322,26080,885,472.0,0.5333333333333333
323,26081,920,571.0,0.6206521739130435
324,26082,628,382.0,0.60828025477707
325,26083,950,595.0,0.6263157894736842
326,26084,650,536.0,0.8246153846153846
327,26085,626,368.0,0.5878594249201278
328,27001,1149,607.0,0.5282854656222803
329,27002,718,391.0,0.5445682451253482
330,27003,1048,573.0,0.5467557251908397
331,27004,711,439.0,0.6174402250351617
332,27005,1097,625.0,0.5697356426618049
333,27006,1176,794.0,0.6751700680272109
334,27007,1161,755.0,0.6503014642549526
335,27008,1116,669.0,0.5994623655913979
336,27009,1076,572.0,0.5315985130111525
337,27010,75,40.0,0.5333333333333333
338,27011,870,510.0,0.5862068965517241
339,27012,1076,538.0,0.5
340,27013,1109,724.0,0.6528403967538323
341,27014,1218,784.0,0.6436781609195402
342,27015,1037,570.0,0.549662487945998
343,27016,1000,512.0,0.512
344,27017,536,252.0,0.4701492537313433
345,27018,99,67.0,0.6767676767676768
346,27019,909,595.0,0.6545654565456546
347,27020,1133,717.0,0.6328331862312445
348,27021,964,680.0,0.7053941908713693
349,27022,895,563.0,0.6290502793296089
350,27023,1125,743.0,0.6604444444444444
351,27024,985,568.0,0.5766497461928934
352,27025,1058,571.0,0.5396975425330813
353,27026,1090,520.0,0.47706422018348627
354,27027,595,280.0,0.47058823529411764
355,27028,1087,534.0,0.49126034958601655
356,27029,987,467.0,0.47315096251266464
357,27030,1016,457.0,0.4498031496062992
358,27031,160,77.0,0.48125
359,27032,149,88.0,0.5906040268456376
360,27033,147,82.0,0.5578231292517006
361,27034,964,513.0,0.5321576763485477
362,27035,1117,610.0,0.5461056401074306
363,27036,930,464.0,0.4989247311827957
364,27037,1138,705.0,0.6195079086115993
365,27038,896,559.0,0.6238839285714286
366,27039,906,531.0,0.5860927152317881
367,27040,956,538.0,0.5627615062761506
368,27041,696,353.0,0.507183908045977
369,27042,1089,583.0,0.5353535353535354
370,27043,585,330.0,0.5641025641025641
371,27044,980,511.0,0.5214285714285715
372,27045,1084,619.0,0.5710332103321033
373,27046,405,200.0,0.49382716049382713
374,27047,935,492.0,0.5262032085561498
375,27048,929,456.0,0.4908503767491927
